Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\Users\sacha> scoop list
There aren't any apps installed.
PS C:\Users\sacha> scoop search
Results from local buckets...

Name                                    Version                           Source Binaries
highlight                               4.5                               main
highs                                   1.5.1+0                           main
himalaya                                0.7.3                             main
hjson                                   3.0.0                             main
hledger                                 1.29.2                            main
hollows-hunter                          0.3.6                             main
hopp-cli                                0.0.8                             main
hostctl                                 1.1.4                             main
htmlq                                   0.4.0                             main
httping                                 1.4.1                             main
httpstat                                1.0.0                             main
hub                                     2.14.2                            main
hugo-extended                           0.111.3                           main
hugo                                    0.111.3                           main
hurl                                    3.0.0                             main
hygen                                   6.2.11                            main
hyperfine                               1.16.1                            main
i2p-zero                                1.20                              main
i2p                                     0.9.50                            main
ibmcloud-cli                            2.16.0                            main
iconv                                   1.14-3                            main
idris                                   1.3.3                             main
ie11webdriver                           4.8.1                             main
ijhttp                                  231.8770.17                       main
imagemagick-lean                        7.1.1-9                           main
imagemagick                             7.1.1-9                           main
inadyn-mt                               02.28.10                          main
influx                                  2.7.3                             main
influxdb                                2.7.1                             main
innoextract                             1.9                               main
innounp                                 0.50                              main
insect                                  5.7.0                             main
intermodal                              0.1.12                            main
invoke-build                            5.10.4                            main
iperf3                                  3.1.3                             main
ipinfo-cli                              2.10.1                            main
ipopt                                   3.14.3                            main
ispc                                    1.20.0                            main
istioctl                                1.17.2                            main
isx                                     0.3.7                             main
iverilog                                12-20220611                       main
jabba                                   0.12.2                            main
janet                                   1.28.0                            main
jcli                                    0.0.42                            main
jd-cli                                  1.2.1                             main
jdtls                                   1.24.0-202305180240               main
jdupes                                  1.23.0                            main
jenkins-lts                             2.387.3                           main
jenkins                                 2.405                             main
jfrog                                   2.37.3                            main
jhead                                   3.04                              main
jid                                     0.7.6                             main
jira                                    1.0.27                            main
jo                                      1.9                               main
jojodiff                                0.8.1                             main
jom                                     1.1.3                             main
jp                                      0.2.1                             main
jq                                      1.6                               main
jruby                                   9.4.2.0                           main
juicefs                                 1.0.4                             main
julia                                   1.9.0                             main
just                                    1.13.0                            main
jwt-cli                                 5.0.3                             main
jx                                      3.10.83                           main
k0s                                     1.26.4+k0s.0                      main
k2tf                                    0.7.0                             main
k3d                                     5.5.1                             main
k3sup                                   0.12.12                           main
k6                                      0.44.1                            main
k9s                                     0.27.4                            main
kaf                                     0.2.3                             main
kafka-exporter                          1.6.0                             main
kafka                                   3.4.0                             main
kalk                                    0.8.1                             main
kalker                                  2.0.3                             main
kapacitor                               1.6.6                             main
kapp                                    0.56.0                            main
karate                                  1.4.0                             main
kcptun                                  20230214                          main
keptn-cli                               1.3.0                             main
kim                                     0.1.0-beta.7                      main
kind                                    0.19.0                            main
knative                                 1.10.0                            main
kompose                                 1.28.0                            main
kondo                                   0.6                               main
kopia                                   0.13.0                            main
kops                                    1.26.3                            main
kotlin-native                           1.8.21                            main
kotlin                                  1.8.21                            main
krew                                    0.4.3                             main
ktunnel                                 1.5.3                             main
ktx-software                            4.1.0                             main
kube-linter                             0.6.4                             main
kubeadm                                 1.27.2                            main
kubeconform                             0.6.1                             main
kubectl                                 1.27.2                            main
kubectx                                 0.9.4                             main
kubefwd                                 1.22.5                            main
kubelet                                 1.27.2                            main
kubens                                  0.9.4                             main
kubent                                  0.7.0                             main
kubescape                               2.3.3                             main
kubeseal                                0.21.0                            main
kubeshark                               40.2                              main
kubeval                                 0.16.1                            main
kubo                                    0.20.0                            main
kusion                                  0.8.0                             main
kustomize                               5.0.3                             main
lab                                     0.25.1                            main
lame                                    3.100.1                           main
latex                                   23.4                              main
latexindent                             3.21.1                            main
lazydocker                              0.20.0                            main
ldc                                     1.32.2                            main
